RA;Fase;INDE_ATUAL;Pedra Atual;Pedra Passada;Turma;Nome Anonimizado;Data de Nasc;Idade;Gênero;Ano ingresso;Instituição de ensino;INDE_ANTERIOR;Cg;Cf;Ct;Nº Av;Avaliador1;Rec Av1;Avaliador2;Rec Av2;IAA;IEG;IPS;IPP;Rec Psicologia;IDA;Mat;Por;Ing;Indicado;Atingiu PV;IPV;IAN;Fase Ideal;Defasagem;Destaque IEG;Destaque IDA;Destaque IPV;ANO
RA-177;3;7.424;Ametista;;A;Aluno-177;2009;13;Menina;2022;Escola Pública;;347;40;9;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;7.9;8.8;4.4;6.8;Requer avaliação;6.8;6.0;7.5;;Não;Não;7.0;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-178;3;7.025;Ágata;Ametista;A;Aluno-178;2009;13;Menina;2016;Rede Decisão;;481;61;13;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;0.0;8.8;4.4;8.7;Requer avaliação;6.3;6.2;5.3;7.3;Não;Sim;8.5;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-179;3;7.993;Ametista;;A;Aluno-179;2010;12;Menino;2022;Escola Pública;;145;22;5;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;7.5;9.2;7.5;8.2;Sem limitações;6.1;3.7;6.7;8.0;Sim;Não;8.0;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-180;3;8.442;Topázio;Topázio;A;Aluno-180;2010;12;Menino;2018;Rede Decisão;;42;11;3;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;9.2;8.3;6.3;8.9;Requer avaliação;8.1;7.7;8.3;8.3;Não;Sim;8.6;10;;0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-181;3;8.623;Topázio;Ametista;A;Aluno-181;2009;13;Menina;2019;Rede Decisão;;25;6;2;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;9.2;9.5;8.8;8.7;Não atendido;6.8;6.8;7.3;6.2;Não;Sim;8.5;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-182;3;6.328;Ágata;Quartzo;A;Aluno-182;2006;16;Menina;2021;Escola Pública;;677;93;15;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Promovido de Fase;7.5;8.0;7.5;7.7;Não atendido;4.1;1.3;5.7;5.4;Não;Não;7.0;2;;-3;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-183;3;7.3;Ametista;;A;Aluno-183;2009;13;Menina;2022;Escola Pública;;394;46;11;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Promovido de Fase;8.3;8.8;7.5;7.5;Não atendido;3.8;0.0;7.5;;Não;Não;7.2;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-184;3;7.28;Ametista;Ametista;A;Aluno-184;2006;16;Menino;2019;Escola Pública;;403;47;12;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase + Bolsa;8.8;7.7;7.5;8.2;Não atendido;7.2;5.0;7.3;9.3;Sim;Não;8.0;2;;-3;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-185;3;6.615;Ágata;Quartzo;A;Aluno-185;2007;15;Menino;2021;Escola Pública;;621;81;14;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Promovido de Fase;7.9;7.7;7.5;7.6;Não atendido;4.5;3.3;5.7;4.5;Não;Não;6.9;5;;-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-186;3;7.832;Ametista;Ametista;A;Aluno-186;2009;13;Menina;2019;Escola Pública;;192;29;7;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Promovido de Fase;8.3;8.5;7.5;7.3;Não atendido;6.6;6.0;5.7;8.0;Sim;Não;7.5;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-187;3;7.928;Ametista;Topázio;A;Aluno-187;2010;12;Menina;2019;Rede Decisão;;161;25;6;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;8.8;8.9;7.5;7.7;Não atendido;5.8;5.3;7.2;4.8;Não;Não;7.9;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-188;3;5.307;Quartzo;Ametista;A;Aluno-188;2008;14;Menino;2021;Escola Pública;;803;122;16;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase + Bolsa;0.0;6.1;7.5;7.8;Não atendido;2.7;3.0;3.2;2.0;Sim;Não;7.6;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-189;3;7.629;Ametista;Ametista;A;Aluno-189;2008;14;Menino;2018;Rede Decisão;;261;33;8;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;10.0;9.7;5.0;7.8;Requer avaliação;7.2;6.3;7.2;8.0;Não;Não;7.3;5;;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-190;3;7.335;Ametista;;A;Aluno-190;2009;13;Menina;2022;Escola Pública;;380;44;10;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Promovido de Fase;6.7;6.9;8.8;7.0;Não atendido;6.3;5.0;7.5;;Não;Não;7.2;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-191;3;8.74;Topázio;Topázio;A;Aluno-191;2009;13;Menino;2019;Rede Decisão;;13;2;1;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;10.0;9.4;8.8;8.4;Não atendido;7.2;8.0;7.2;6.3;Não;Sim;8.5;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-192;3;4.932;Quartzo;Quartzo;B;Aluno-192;2007;15;Menino;2021;Escola Pública;;829;130;14;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Promovido de Fase;8.8;3.6;7.5;6.0;Não atendido;2.7;1.7;4.7;1.7;Não;Não;4.7;5;;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-193;3;8.155;Topázio;Topázio;B;Aluno-193;2010;12;Menino;2016;Rede Decisão;;95;16;2;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;9.2;8.9;5.6;8.5;Sem limitações;6.7;5.0;6.3;8.7;Não;Sim;8.5;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-194;3;4.265;Quartzo;;B;Aluno-194;2008;14;Menina;2022;Escola Pública;;851;144;15;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;0.0;6.2;5.0;6.3;Requer avaliação;3.2;3.7;5.8;0.0;Não;Não;3.8;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-195;3;8.017;Ametista;Ametista;B;Aluno-195;2009;13;Menina;2017;Rede Decisão;;137;21;4;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;8.8;9.2;5.0;8.9;Requer avaliação;6.3;6.8;6.3;5.8;Não;Não;8.2;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-196;3;8.124;Topázio;Topázio;B;Aluno-196;2010;12;Menino;2018;Rede Decisão;;106;17;3;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;9.2;9.1;7.5;8.9;Não atendido;5.1;4.0;6.0;5.3;Não;Sim;8.6;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-197;3;8.218;Topázio;Topázio;B;Aluno-197;2009;13;Menina;2021;Rede Decisão;;82;15;1;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;8.8;9.7;4.4;8.4;Requer avaliação;7.3;6.0;7.5;8.3;Não;Não;8.3;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-198;3;5.554;Quartzo;Quartzo;B;Aluno-198;2009;13;Menino;2017;Escola Pública;;782;117;11;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;0.0;6.2;5.0;7.0;Requer avaliação;4.6;5.2;5.8;2.8;Não;Não;6.0;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-199;3;7.564;Ametista;;B;Aluno-199;2009;13;Menino;2022;Escola Pública;;287;34;5;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;8.3;7.1;7.5;7.7;Não atendido;7.5;5.7;7.8;9.0;Não;Não;6.5;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-200;3;5.705;Quartzo;Quartzo;B;Aluno-200;2007;15;Menino;2018;Escola JP II;;759;109;9;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Promovido de Fase;7.9;5.6;4.4;7.7;Requer avaliação;5.5;4.7;5.0;6.8;Não;Não;4.9;5;;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-201;3;7.078;Ametista;Ágata;B;Aluno-201;2007;15;Menina;2021;Escola Pública;;462;58;7;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Promovido de Fase;7.9;7.3;7.5;7.7;Não atendido;6.5;6.0;7.2;6.3;Não;Não;7.5;5;;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-202;3;5.201;Quartzo;Ametista;B;Aluno-202;2008;14;Menina;2017;Escola Pública;;810;123;13;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase;0.0;5.2;4.4;7.6;Requer avaliação;5.4;6.3;5.8;4.2;Sim;Não;6.9;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-203;3;5.669;Quartzo;Ametista;B;Aluno-203;2008;14;Menina;2021;Escola Pública;;766;113;10;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Promovido de Fase;8.8;4.3;7.5;7.4;Não atendido;2.8;2.3;3.5;2.5;Não;Não;6.9;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-204;3;6.943;Ágata;Ametista;B;Aluno-204;2009;13;Menina;2019;Escola Pública;;509;64;8;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;7.9;6.7;4.4;7.5;Requer avaliação;7.4;5.3;8.5;8.5;Não;Não;5.7;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-205;3;5.372;Quartzo;Ametista;B;Aluno-205;2008;14;Menino;2020;Escola Pública;;797;120;12;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Promovido de Fase;9.6;3.8;7.5;6.2;Não atendido;4.1;5.7;1.7;5.0;Não;Não;4.8;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-206;3;7.101;Ametista;;B;Aluno-206;2010;12;Menina;2022;Escola Pública;;455;56;6;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;8.3;8.8;7.5;7.3;Não atendido;5.0;4.0;6.0;;Não;Não;5.2;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-207;3;4.936;Quartzo;Ágata;C;Aluno-207;2006;16;Menino;2021;Escola Pública;;827;129;5;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;0.0;4.8;7.5;6.7;Não atendido;5.8;5.3;4.0;8.0;Não;Não;5.7;2;;-3;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-208;3;6.667;Ágata;Ágata;C;Aluno-208;2008;14;Menino;2018;Escola Pública;;599;78;4;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Promovido de Fase;7.5;7.1;7.5;7.4;Não atendido;6.1;5.0;7.5;5.8;Não;Não;6.4;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-209;3;4.499;Quartzo;Quartzo;C;Aluno-209;2008;14;Menino;2019;Escola Pública;;843;140;7;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;0.0;4.8;5.6;5.3;Requer avaliação;6.0;5.0;5.2;7.8;Não;Não;3.8;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-210;3;4.44;Quartzo;;C;Aluno-210;2008;14;Menino;2022;Escola Pública;;844;141;8;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;0.0;5.1;7.5;6.1;Não atendido;3.4;2.7;5.3;2.3;Não;Não;4.4;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-211;3;8.465;Topázio;Topázio;C;Aluno-211;2009;13;Menino;2021;Escola Pública;;39;10;1;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase + Bolsa;9.2;8.8;7.5;8.2;Não atendido;7.6;6.7;7.5;8.5;Sim;Sim;8.5;10;;0;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-212;3;7.268;Ametista;;C;Aluno-212;2008;14;Menino;2022;Escola Pública;;407;49;2;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;9.6;8.4;7.5;7.5;Não atendido;6.2;4.8;5.8;7.8;Não;Não;7.0;5;;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-213;3;7.209;Ametista;;C;Aluno-213;2009;13;Menino;2022;Escola Pública;;425;51;3;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;9.6;8.7;7.5;6.9;Não atendido;3.5;5.0;2.0;;Não;Não;6.8;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-214;3;4.87;Quartzo;;C;Aluno-214;2007;15;Menino;2022;Escola Pública;;832;133;6;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;0.0;6.1;7.5;5.1;Não atendido;4.3;5.0;3.5;;Não;Não;5.1;5;;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-215;3;7.172;Ametista;Ágata;D;Aluno-215;2009;13;Menina;2021;Escola Pública;;442;53;3;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;6.7;5.8;7.5;7.2;Não atendido;7.8;5.7;7.7;10.0;Não;Não;6.5;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-216;3;7.502;Ametista;Ágata;D;Aluno-216;2009;13;Menina;2018;Escola Pública;;310;35;1;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;7.9;8.5;7.5;7.5;Não atendido;7.0;5.3;6.5;9.2;Não;Não;5.6;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-217;3;7.397;Ametista;Ametista;D;Aluno-217;2007;15;Menina;2021;Escola Pública;;363;42;2;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;7.9;8.5;7.5;7.8;Não atendido;7.1;6.3;7.2;7.7;Sim;Não;7.3;5;;-2;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-218;3;6.1;Ágata;;D;Aluno-218;2008;14;Menina;2022;Escola Pública;;709;99;6;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;6.3;7.3;7.5;7.3;Não atendido;4.0;5.0;7.0;0.0;Não;Não;6.1;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-219;3;5.942;Quartzo;Ágata;D;Aluno-219;2006;16;Menino;2019;Escola Pública;;733;105;7;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;8.8;6.9;7.5;7.1;Não atendido;3.5;4.0;4.8;1.7;Não;Não;6.4;2;;-3;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-220;3;7.028;Ágata;;D;Aluno-220;2009;13;Menina;2022;Escola Pública;;479;60;4;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Mantido na Fase atual;0.0;8.1;7.5;7.9;Não atendido;6.5;6.8;6.8;5.8;Sim;Não;7.8;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-221;3;6.892;Ágata;;D;Aluno-221;2008;14;Menino;2022;Escola Pública;;528;68;5;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;9.6;8.5;7.5;7.4;Não atendido;5.2;7.0;3.5;5.0;Não;Não;6.0;5;;-1;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-222;3;5.604;Quartzo;Ametista;D;Aluno-222;2007;15;Menina;2019;Escola Pública;;774;115;8;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;7.1;4.6;7.5;5.0;Não atendido;6.2;5.0;7.5;6.0;Não;Não;4.9;5;;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-223;3;4.966;Quartzo;;E;Aluno-223;2009;13;Menina;2022;Escola Pública;;823;128;12;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;0.0;4.6;7.5;5.6;Não atendido;3.1;4.3;4.7;0.2;Não;Não;5.6;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-224;3;5.671;Quartzo;Ágata;E;Aluno-224;2009;13;Menino;2021;Escola Pública;;765;112;11;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;9.6;4.3;7.5;6.1;Não atendido;2.6;5.0;2.7;0.0;Não;Não;4.9;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-225;3;5.918;Quartzo;;E;Aluno-225;2008;14;Menino;2022;Escola Pública;;736;107;10;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;8.3;5.3;7.5;6.4;Não atendido;5.0;3.0;7.0;;Não;Não;5.7;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-226;3;6.549;Ágata;;E;Aluno-226;2008;14;Menina;2022;Escola Pública;;638;82;4;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;7.5;6.1;7.5;7.3;Não atendido;6.8;7.0;6.5;;Não;Não;6.2;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-227;3;6.471;Ágata;;E;Aluno-227;2010;12;Menino;2022;Escola Pública;;647;84;5;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;9.2;6.4;7.5;6.9;Não atendido;3.3;4.7;4.3;1.0;Não;Não;5.8;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-228;3;6.196;Ágata;Quartzo;E;Aluno-228;2007;15;Menina;2017;Escola Pública;;700;95;7;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;7.5;6.7;7.5;6.1;Não atendido;4.8;3.0;6.0;5.3;Não;Não;6.4;5;;-2;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-229;3;8.62;Topázio;;E;Aluno-229;2010;12;Menino;2022;Escola Pública;;27;7;1;4.0;Avaliador-6;Promovido de Fase + Bolsa;Avaliador-27;Promovido de Fase + Bolsa;10.0;9.4;7.5;9.1;Não atendido;6.9;7.0;6.7;7.2;Sim;Sim;8.5;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;2022
RA-230;3;6.328;Ágata;;E;Aluno-230;2008;14;Menino;2022;Escola Pública;;676;92;6;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;7.9;5.1;7.5;7.8;Não atendido;5.7;3.7;4.3;9.0;Sim;Não;6.8;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-231;3;6.116;Ágata;;E;Aluno-231;2008;14;Menino;2022;Escola Pública;;705;97;8;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;8.8;7.4;7.5;6.8;Não atendido;3.8;3.0;4.5;;Não;Não;5.3;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-232;3;4.245;Quartzo;;E;Aluno-232;2010;12;Menino;2022;Escola Pública;;852;145;13;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;0.0;4.9;7.5;6.1;Não atendido;0.0;0.0;0.0;;Não;Não;4.5;10;;0;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-233;3;6.051;Ágata;;E;Aluno-233;2008;14;Menino;2022;Escola Pública;;718;101;9;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;7.9;7.4;7.5;6.7;Não atendido;3.8;3.0;4.5;;Não;Não;5.5;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-234;3;6.719;Ágata;;E;Aluno-234;2009;13;Menino;2022;Escola Pública;;583;75;3;4.0;Avaliador-6;Mantido na Fase atual;Avaliador-27;Mantido na Fase atual;10.0;7.6;5.6;6.6;Sem limitações;4.3;3.7;6.3;2.8;Não;Não;5.6;10;;0;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
RA-235;3;6.79;Ágata;;E;Aluno-235;2008;14;Menina;2022;Escola Pública;;559;73;2;4.0;Avaliador-6;Promovido de Fase;Avaliador-27;Mantido na Fase atual;8.3;7.3;7.5;7.1;Não atendido;6.3;7.0;5.5;;Não;Não;6.4;5;;-1;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;2022
